Start_Station Id,Start_Latitude,Start_Longitude,Start_complete_adress,Start_postcode,Start_county,Start_district,Start_state
JC005,40.71392345,-74.06146,"Number 22 Elementary School, Maple Street, Jersey City, NJ 07304, United States of America",7304,Hudson County,Not found,New Jersey
JC006,40.72035599,-74.03874,"10 Provost, Morgan Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Downtown Jersey City,New Jersey
JC008,40.71914947,-74.04565,"1 Barrow Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,New Jersey
JC009,40.71880698,-74.07086,"105 Astor Place, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC011,40.71605086,-74.04984,"Jersey City Medical Center, 355 Grand Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Not found,New Jersey
JC013,40.71415997,-74.04446,"18 Park Avenue, Jersey City, NJ 07302, United States of America",7302,Hudson County,Downtown Jersey City,New Jersey
JC014,40.71694577,-74.04065,"Montgomery Towers, 135 Montgomery Street, Jersey City, NJ 07306, United States of America",7306,Hudson County,Downtown Jersey City,New Jersey
JC018,40.73370099,-74.06039,"24 Van Reipen Avenue, Jersey City, NJ 07306, United States of America",7306,Hudson County,Jersey City,New Jersey
JC019,40.73045325,-74.05776,"Saint Joseph's Catholic Church, 511 Pavonia Avenue, Jersey City, NJ 07306, United States of America",7306,Hudson County,Indian Square,New Jersey
JC020,40.72182357,-74.06533,"133 Clifton Place, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC022,40.72045302,-74.05388,"James J. Ferris High School, 35 Colgate Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Not found,New Jersey
JC023,40.71880697,-74.07086,"105 Astor Place, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC024,40.74215925,-74.05206,"216 Central Avenue, Jersey City, NJ 07307, United States of America",7307,Hudson County,Jersey City,New Jersey
JC027,40.72507608,-74.04615,"276 1/2 5th Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,New Jersey
JC032,40.72045302,-74.04705,"513 Jersey Avenue, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,New Jersey
JC034,40.73419178,-74.05093,"3 Hopkins Avenue, Jersey City, NJ 07306, United States of America",7306,Hudson County,Indian Square,New Jersey
JC035,40.71584714,-74.04794,"The Regent at Liberty Harbor, 30 Regent Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Downtown Jersey City,New Jersey
JC038,40.71247017,-74.0387,"100 Warren Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,New Jersey
JC051,40.71745825,-74.08364,"87 Boyd Court, Jersey City, NJ 07304, United States of America",7304,Hudson County,Not found,New Jersey
JC052,40.7094227,-74.05672,"Wilson Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Not found,New Jersey
JC053,40.72369111,-74.07862,"664 West Side Avenue, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC055,40.72454274,-74.06781,"77 Nevin Street, Jersey City, NJ 07306, United States of America",7306,Hudson County,Not found,New Jersey
JC056,40.73070717,-74.06393,"32 Sip Avenue, Jersey City, NJ 07306, United States of America",7306,Hudson County,Indian Square,New Jersey
JC057,40.7443187,-74.04411,"459 Palisade Avenue, Jersey City, NJ 07087, United States of America",7087,Hudson County,Not found,New Jersey
JC059,40.74838638,-74.04108,"590 Palisade Avenue, Jersey City, NJ 07307, United States of America",7307,Hudson County,Jersey City,New Jersey
JC063,40.71095419,-74.07904,"354 Martin Luther King Drive, Jersey City, NJ 07305, United States of America",7305,Hudson County,Jersey City,New Jersey
JC065,40.71995425,-74.06935,"49 Gardner Avenue, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC066,40.71901703,-74.03874,"321 Warren Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,New Jersey
JC072,40.71193659,-74.0386,"Portside Towers East, Dudley Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Downtown Jersey City,New Jersey
JC074,40.71757853,-74.07097,"57 Crescent Avenue, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC075,40.72518253,-74.04917,"342 5th Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,New Jersey
JC076,40.72113013,-74.05055,"158 Wayne Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Not found,New Jersey
JC077,40.71835995,-74.07185,"110 Monticello Avenue, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC078,40.71256125,-74.06343,"384 Communipaw Avenue, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC080,40.731166,-74.06468,"40 John F. Kennedy Boulevard, Jersey City, NJ 07306, United States of America",7306,Hudson County,Indian Square,New Jersey
JC081,40.72467768,-74.05231,"Public School #5, 3rd Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Newport,New Jersey
JC082,40.71985054,-74.04422,"129 Christopher Columbus Drive, Jersey City, NJ 07302, United States of America",7302,Hudson County,Downtown Jersey City,New Jersey
JC084,40.7142458,-74.06688,"457 Communipaw Avenue, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC093,40.72339523,-74.07218,"85 Fairview Avenue, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC094,40.72684491,-74.07163,"St. Peter's University, Tuers Avenue, Jersey City, NJ 07306, United States of America",7306,Hudson County,Not found,New Jersey
JC095,40.72193348,-74.0716,"640 Bergen Avenue, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC097,40.71644104,-74.04243,"Our Lady of Czestochowa School, Marin Boulevard, Jersey City, NJ 07302, United States of America",7302,Hudson County,Downtown Jersey City,New Jersey
JC098,40.72047114,-74.04851,"343 Varick Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,New Jersey
JC099,40.71889257,-74.05129,"295 Monmouth Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Not found,New Jersey
JC102,40.71448088,-74.0381,"213 Washington Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,New Jersey
JC103,40.72339522,-74.06464,"41 Baldwin Avenue, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC104,40.71845603,-74.03531,"Harborside Plaza 5, 185 Hudson Street, Jersey City, NJ 07311, United States of America",7311,Hudson County,Downtown Jersey City,New Jersey
JC105,40.73289871,-74.04961,"228 Hoboken Avenue, Jersey City, NJ 07306, United States of America",7306,Hudson County,Jersey City,New Jersey
JC106,40.71593928,-74.03423,"1 Exchange Place, Jersey City, NJ 07302, United States of America",7302,Hudson County,Jersey City,New Jersey
JC107,40.70899379,-74.08096,"294 Martin Luther King Drive, Jersey City, NJ 07305, United States of America",7305,Hudson County,Jersey City,New Jersey
JC108,40.70649505,-74.08685,"108 Bergen Avenue, Jersey City, NJ 07305, United States of America",7305,Hudson County,Not found,New Jersey
JC109,40.71745825,-74.08331,"6 Boyd Court, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC110,40.71504009,-74.05001,"Jersey City Medical Center, 355 Grand Street, Jersey City, NJ 07302, United States of America",7302,Hudson County,Not found,New Jersey
JC115,40.71821034,-74.07086,"75 Crescent Avenue, Jersey City, NJ 07304, United States of America",7304,Hudson County,Jersey City,New Jersey
JC116,40.71560454,-74.03496,"99 Hudson Street, Jersey City, NJ 07311, United States of America",7311,Hudson County,Colgate Center,New Jersey
JCSYS,40.70965083,-74.0686,"198 Forrest Street, Jersey City, NJ 07304, United States of America",7304,Hudson County,Not found,New Jersey
MTL-ECO5-LAB,40.74716563,-74.08896,"Koppers Dredged Material Recycling Facility, 1 Fish House Road, Kearny, NJ 07032, United States of America",7032,Hudson County,Kearny,New Jersey
